,DBA,borough,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,score,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Bayes Classification
13469,Thread Lobby Bar,wealthier,10001,American,8/20/19,10H,N,1,8/20/19,40.75197774,-73.99092987,105,3,10900,1014413,1007840054,MN17,1
13470,POCION,wealthier,10033,Vegetarian,9/17/19,05D,Y,1,9/17/19,40.84759404,-73.93830423,112,10,26300,1063509,1021420194,MN36,1
13471,TOAST & ROAST,less wealthy,11106,American,4/26/19,10F,N,1,4/26/19,40.76152693,-73.92442876,401,22,6100,4008405,4006140007,QN70,1
13472,SUBWAY,wealthier,10006,Sandwiches/Salads/Mixed Buffet,11/7/19,10E,N,1,11/7/19,40.70847851,-74.01111292,101,1,1300,1001029,1000490002,MN25,1
13473,MAISON MAY,less wealthy,11205,French,9/17/19,06A,Y,1,9/17/19,40.68909129,-73.96904003,302,35,19700,3059141,3021050034,BK69,1
13474,TAQUERIA SANTA FE,less wealthy,11237,Mexican,1/18/19,04K,Y,1,1/18/19,40.70054111,-73.92057069,304,37,43100,3074476,3032690010,BK77,1
13475,HANKI,less wealthy,11215,Korean,7/16/19,02G,Y,1,7/16/19,40.67013811,-73.97887925,306,39,15500,3021144,3009830041,BK37,1
13476,TAYLOR ST BARISTAS,wealthier,10017,Café/Coffee/Tea,10/21/19,06C,Y,1,10/21/19,40.75174854,-73.98003712,105,4,8200,1035318,1012750023,MN20,1
13477,BOCELLI'S,wealthier,10305,Italian,10/23/19,10B,N,1,10/23/19,40.59758353,-74.08444486,502,50,6400,5047240,5032200026,SI14,1
13478,KAMI SUSHI/YUMMY THAI,less wealthy,11238,Japanese,4/18/19,06D,Y,1,4/18/19,40.67624371,-73.97177152,308,39,15900,3029309,3011690009,BK37,1
13479,DESI GALLI,wealthier,10009,Indian,1/15/20,04M,Y,0,1/15/20,40.72732281,-73.97958265,103,2,3400,1088214,1004040029,MN22,0
13480,AVENUE U NEW EAGLE KITCHEN,less wealthy,11223,Chinese,5/15/19,10F,N,1,5/15/19,40.59636106,-73.97867583,315,47,39800,3192418,3071190008,BK26,1
13481,CHIPOTLE MEXICAN GRILL,wealthier,10013,Mexican,12/17/19,04N,Y,1,12/17/19,40.71881857,-74.00235929,101,1,3100,1002337,1001960003,MN24,1
13482,LIBERTY BAGEL MIDTOWN,wealthier,10001,Bagels/Pretzels,2/5/19,04N,Y,1,2/5/19,40.75233736,-73.99178523,105,3,10900,1014418,1007840074,MN17,1
13483,A.M. DELI JUICE BAR FOOD,wealthier,10029,Delicatessen,3/21/19,04M,Y,1,3/21/19,40.79676083,-73.9372355,111,8,18800,1052929,1016870046,MN34,1
13484,KIRSH BAKERY AND KITCHEN,wealthier,10024,American,3/29/19,10F,N,1,3/29/19,40.78806062,-73.97472488,107,6,17300,1032218,1012170064,MN12,1
13485,DEUTSCHE BANK,wealthier,10154,Café/Coffee/Tea,5/3/19,10F,N,1,5/3/19,40.75816441,-73.97324549,105,4,10000,1036460,1013060001,MN19,1
13486,DEUTSCHE BANK - MAIN CAFE,wealthier,10005,American,6/7/19,02H,Y,1,6/7/19,40.70590688,-74.00860938,101,1,700,1001004,1000400003,MN25,1
13487,DUETSCHE BANK - CONFERENCE ROOM,wealthier,10005,Café/Coffee/Tea,10/21/19,10B,N,1,10/21/19,40.70590688,-74.00860938,101,1,700,1001004,1000400003,MN25,1
13488,GREGORYS COFFEE,wealthier,10036,Café/Coffee/Tea,10/24/19,10F,N,1,10/24/19,40.75552562,-73.98174688,105,4,9600,1034202,1012590001,MN17,1
13489,GOLDEN KRUST,less wealthy,11207,Caribbean,4/4/19,09A,N,1,4/4/19,40.67661037,-73.9006662,305,37,114400,3083236,3036660010,BK85,1
13490,THE BLOND/THE LIBRARY,wealthier,10013,American,1/30/19,06D,Y,1,1/30/19,40.71907661,-73.9999531,102,1,4500,1002687,1002090019,MN24,1
13491,NYLC LOUNGE,less wealthy,10458,Café/Coffee/Tea,5/2/19,10F,N,1,5/2/19,40.861113200000005,-73.89784805,205,15,23702,2013592,2031520069,BX05,1
13492,CARDIFF GIANT,less wealthy,11205,American,7/30/19,10I,N,1,7/30/19,40.69312615,-73.96920042,302,35,18700,3054292,3018870096,BK68,1
13493,TALON BAR,less wealthy,11237,French,6/10/19,05D,Y,1,6/10/19,40.70124468,-73.91420793,304,37,44100,3075755,3033100041,BK77,1
13494,BENNY'S BRICK OVEN PIZZA,less wealthy,11225,Pizza,6/14/19,09C,N,1,6/14/19,40.66464163,-73.94263014,309,35,33100,3034663,3013120007,BK63,1
13495,LA KUCHARA,less wealthy,11369,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/10/19,06C,Y,1,4/10/19,40.76057607,-73.87326879999999,403,21,35300,4033707,4013930045,QN27,1
13496,DOUGHNUTTERY,wealthier,10019,Donuts,3/26/19,06D,Y,1,3/26/19,40.76681223,-73.98280875,104,3,13900,1799161,1270000161,MN15,1
13497,KARAM RESTAURANT,less wealthy,11209,Middle Eastern,1/16/20,10F,N,1,1/16/20,40.62334908,-74.02811236,310,43,13800,3153139,3060350001,BK31,1
13498,COMFORT STOP,less wealthy,11214,Bakery,5/22/19,10E,N,1,5/22/19,40.60771272,-74.00205643,311,47,27800,3165759,3063440007,BK28,1
13499,BALADE EASTERN MEDITERRANEAN,wealthier,10018,Middle Eastern,4/11/19,02B,Y,1,4/11/19,40.75243312,-73.98817951,105,3,10900,1015248,1008120068,MN17,1
13500,BLUESTONE LANE,wealthier,10003,Café/Coffee/Tea,5/16/19,10B,N,1,5/16/19,40.73017605,-73.99046019,103,2,4200,1089443,1005540035,MN22,1
13501,DUTCH FREDS,wealthier,10036,American,12/18/18,10F,N,1,12/18/18,40.76063718,-73.98801561,104,3,12700,1025099,1010380028,MN15,1
13502,CAPPONE'S SALUMERIA,wealthier,10004,Sandwiches,6/24/19,02B,Y,1,6/24/19,40.70253319,-74.01256178,101,1,900,1000005,1000047501,MN25,1
13503,CAPPONE'S,wealthier,10011,Italian,10/31/19,04A,Y,1,10/31/19,40.74186904,-74.00471301,104,3,8300,1012541,1007130001,MN13,1
13504,KARAOKE CITY,wealthier,10001,Other,2/12/19,06E,Y,1,2/12/19,40.74762687,-73.98665374,105,4,7600,1015828,1008330057,MN17,1
13505,NEWYORKTITLAN,less wealthy,11237,American,10/21/19,06C,Y,1,10/21/19,40.69895446,-73.91277554,304,37,43900,3076358,3033360022,BK77,1
13506,KNOCKDOWN CENTER,less wealthy,11378,American,6/21/19,04L,Y,1,6/21/19,40.71454024,-73.91405368,405,30,53500,4439140,4026110328,QN30,1
13507,IRVING FARM COFFEE ROASTERS,wealthier,10028,Café/Coffee/Tea,9/13/19,04L,Y,1,9/13/19,40.77541282,-73.95647832,108,5,14000,1047526,1015090039,MN40,1
13508,DING,wealthier,10036,Chinese,10/30/19,10D,N,1,10/30/19,40.76044752,-73.98565488,105,3,12500,1024764,1010190055,MN17,1
13509,TRINI DELITE,less wealthy,11419,Caribbean,4/3/19,04L,Y,1,4/3/19,40.68438585,-73.83200365,410,28,10000,4202402,4095330001,QN55,1
13510,SWEET JANE'S,less wealthy,11385,American,11/9/19,04H,Y,1,11/9/19,40.70576516,-73.89429991,405,30,58100,4088074,4036270024,QN20,1
13511,THE LITTLE BEET,wealthier,10001,American,2/1/19,10F,N,1,2/1/19,40.74389973,-73.98897859,105,2,5800,1015649,1008280033,MN13,1
13512,MCDONALD'S,wealthier,10003,Hamburgers,3/29/19,10F,N,1,3/29/19,40.72931166,-73.99346943,102,2,5700,1008795,1005450014,MN23,1
13513,L'AMICO/THE VINE,wealthier,10001,American,3/29/19,08A,N,1,3/29/19,40.74689435,-73.98990561,105,3,9500,1015146,1008057502,MN17,1
13514,PONDICHERI,wealthier,10001,Indian,10/21/19,10F,N,1,10/21/19,40.74436355,-73.98845883,105,2,5800,1015685,1008290032,MN13,1
13515,SUBWAY,less wealthy,11236,Sandwiches,5/28/19,10B,N,1,5/28/19,40.63464017,-73.91459653,318,46,95600,3224809,3080150041,BK50,1
13516,EMPIRE STEAK HOUSE,wealthier,10022,American,9/3/19,04N,Y,1,9/3/19,40.75622349,-73.97170140000001,106,4,10000,1036455,1013050032,MN19,1
13517,LN 1380,less wealthy,11362,Chinese,8/26/19,06D,Y,1,8/26/19,40.76901783,-73.73685855,411,19,147900,4169387,4081290084,QN45,1
13518,ABOUT COFFEE,wealthier,10012,Café/Coffee/Tea,7/2/19,10F,N,1,7/2/19,40.72461822,-74.0038892,102,3,4700,1007347,1004890008,MN24,1
13519,DUNKIN',less wealthy,11372,Donuts,5/9/19,10F,N,1,5/9/19,40.75605499,-73.8805145,403,25,27900,4035342,4014350001,QN28,1
13520,MAMOUN'S FALAFEL,wealthier,10003,Middle Eastern,1/7/19,10B,N,1,1/7/19,40.72884463,-73.98828835,103,2,3800,1006673,1004630024,MN22,1
13521,SUBWAY #47857,less wealthy,11385,Sandwiches/Salads/Mixed Buffet,7/22/19,10F,N,1,7/22/19,40.70944514,-73.86956824,405,30,63700,4462612,4038100350,QN19,1
13522,BURRITOS Y MAS,wealthier,10029,Tex-Mex,11/20/19,10I,N,1,11/20/19,40.78862294,-73.94890402,111,8,16600,1051814,1016280052,MN33,1
13523,XIN HI CHINESE BUFFETT,less wealthy,10475,Chinese,7/31/19,02B,Y,1,7/31/19,40.86947339,-73.82846091,210,12,46201,2097466,2051410100,BX13,1
13524,ALOHA HARLEM,wealthier,10029,Hawaiian,2/7/19,04A,Y,1,2/7/19,40.7955578,-73.93574142,111,8,18800,1052911,1016870025,MN34,1
13525,WAKAMATSU JAPANESE RESTAURANT,less wealthy,11378,Japanese,10/10/19,06C,Y,1,10/10/19,40.72762831,-73.89248277,405,30,49302,4062726,4027970011,QN30,1
13526,W K RESTAURANT,wealthier,10013,Chinese,3/4/19,10B,N,1,3/4/19,40.71551388,-73.99819996,103,1,2900,1001789,1001630018,MN27,1
13527,HAPPY GARDEN,less wealthy,11206,Chinese,3/11/19,10F,N,1,3/11/19,40.70527815,-73.94287997,301,34,50500,3071346,3030790028,BK90,1
13528,EL MALECON RESTAURANT,less wealthy,11368,Spanish,3/25/19,10F,N,1,3/25/19,40.75734804,-73.86822516,403,21,37700,4042513,4017150007,QN26,1
13529,EL TRIO GRILL,less wealthy,11368,Mexican,7/15/19,06D,Y,1,7/15/19,40.74663364,-73.86220136,404,21,40500,4311620,4019780064,QN26,1
13530,DONUT CONNECTION,less wealthy,11224,Donuts,11/20/19,02B,Y,1,11/20/19,40.57670925,-73.98402419,313,47,32600,3330559,3070210050,BK21,1
13531,BAGEL BELLY,wealthier,10003,Sandwiches/Salads/Mixed Buffet,8/16/19,08A,N,1,8/16/19,40.73291778,-73.98746134,103,2,4200,1009080,1005590036,MN22,1
13532,FILAGA,wealthier,10011,Pizza/Italian,8/26/19,10F,N,1,8/26/19,40.74186904,-74.00471301,104,3,8300,1012541,1007130001,MN13,1
13533,JENIVIEVE'S JERK ROTISSERIE,less wealthy,11428,Caribbean,9/16/19,10B,N,1,9/16/19,40.71913866,-73.73399346,413,23,56400,4229849,4107250085,QN34,1
13534,EAST HARLEM BOTTLING CO,wealthier,10029,American,11/14/19,02H,Y,1,11/14/19,40.79304325,-73.94567914,111,8,17200,1052073,1016350024,MN33,1
13535,MAMASUSHI,wealthier,10031,Asian,1/29/19,06D,Y,1,1/29/19,40.82731877,-73.94980645,109,7,23300,1062398,1020930029,MN04,1
13536,YUMMY TACO,wealthier,10305,Tex-Mex,6/25/19,02G,Y,1,6/25/19,40.61658292,-74.06799013,501,49,800,5042583,5028450037,SI37,1
13537,SIMPLE ASIA,wealthier,10306,Asian,10/17/19,10F,N,1,10/17/19,40.57399039,-74.10622148,502,50,12200,5052234,5036170001,SI45,1
13538,JAMBA JUICE,wealthier,10018,Fruits/Vegetables,7/26/19,10B,N,1,7/26/19,40.75618542,-73.99056473,104,3,11500,1083268,1010320029,MN15,1
13539,NIPPONCHA RESTAURANT,less wealthy,11361,Japanese,12/16/19,04L,Y,1,12/16/19,40.76489564,-73.77168253,411,19,112300,4137552,4062370023,QN46,1
13540,SALSA ZONE,less wealthy,10455,American,6/7/19,06F,Y,1,6/7/19,40.8144592,-73.91995733,201,8,4300,2000663,2023070013,BX39,1
13541,HUSKY-P MEALS DIRECT,less wealthy,11413,Caribbean,12/19/19,09C,N,1,12/19/19,40.67236999,-73.75997431,412,27,33000,4280191,4130220115,QN02,1
13542,POPEYES LOUISIANA KITCHEN,less wealthy,11421,Chicken,5/15/19,10F,N,1,5/15/19,40.6933407,-73.85298655,409,32,1800,4184264,4089330077,QN53,1
13543,ORIGINAL RICKY'S,less wealthy,11216,Caribbean,11/27/19,10F,N,1,11/27/19,40.6799597,-73.94156775,303,36,26900,3053628,3018570011,BK75,1
13544,GEORGIA & ALIOU'S TINY TREATS CAFE,wealthier,10019,Café/Coffee/Tea,4/17/19,06F,Y,1,4/17/19,40.76681223,-73.98280875,104,3,13900,1799161,1270000161,MN15,1
13545,JES CATERING,less wealthy,10469,Caribbean,6/5/19,10E,N,1,6/5/19,40.86946305,-73.84434105,211,12,36000,2055505,2045660047,BX31,1
13546,MCDONALDS,less wealthy,11369,American,2/20/19,10B,N,1,2/20/19,40.76399620000001,-73.88111028,403,22,32900,4024133,4011000043,QN28,1
13547,GREAT WALL NYC,less wealthy,10453,Chinese,1/8/20,06A,Y,1,1/8/20,40.85063177,-73.91563026,205,14,24501,2009089,2028790100,BX36,1
13548,MEE'S NOODLE,wealthier,10022,Chinese,12/18/19,02B,Y,0,12/18/19,40.75447982,-73.96879295,106,4,9800,1039466,1013420004,MN19,0
13549,THE FOOD COURT BAR,less wealthy,10451,American,8/14/19,04K,Y,1,8/14/19,40.82902843,-73.92849646,204,16,6300,2114490,2024930001,BX63,1
13550,KING WOK,less wealthy,11362,Chinese,11/26/19,06D,Y,1,11/26/19,40.76748478,-73.73861916,411,19,147900,4169059,4081180028,QN45,1
13551,KOFTE PIYAZ RESTAURANT,less wealthy,11232,Turkish,3/6/19,02B,Y,1,3/6/19,40.65162922,-74.00351374,307,38,8800,3017768,3009030172,BK34,1
13552,INTERCONTINENTAL NEW YORK EMPLOYEE CAFE,wealthier,10017,American,8/30/19,10F,N,1,8/30/19,40.75554333,-73.97397927,105,4,9200,1036224,1013030014,MN19,1
13553,INTERCONTINENTAL BARCLAY-LOBBY RESTAURANT,wealthier,10017,American,10/4/19,06C,Y,1,10/4/19,40.75554333,-73.97397927,105,4,9200,1036224,1013030014,MN19,1
13554,MEDITERRANEO PIZZA,wealthier,10040,Pizza,7/18/19,02H,Y,1,7/18/19,40.85467607,-73.92982075,112,10,27900,1064018,1021680074,MN35,1
13555,INTERCONTINENTAL BARCLAY - BAR,wealthier,10017,American,4/22/19,10H,N,1,4/22/19,40.75554333,-73.97397927,105,4,9200,1036224,1013030014,MN19,1
13556,DOSA ROYALE,less wealthy,11205,Indian,10/1/19,08A,N,1,10/1/19,40.68944526,-73.9686324,302,35,19700,3055287,3019290023,BK69,1
13557,STARBUCKS,wealthier,10001,Café/Coffee/Tea,10/11/19,10F,N,1,10/11/19,40.74960357,-73.99161954,105,3,10100,1015175,1008070001,MN17,1
13558,STARBUCKS,wealthier,10004,Café/Coffee/Tea,10/11/19,10H,N,1,10/11/19,40.70518201,-74.0115055,101,1,900,1000821,1000250001,MN25,1
13559,MANGO MANGO,less wealthy,11220,"Juice, Smoothies, Fruit Salads",11/21/19,10F,N,1,11/21/19,40.6406691,-74.00776498,307,38,10000,3014367,3008170037,BK34,1
13560,KING BARKA JAMAICAN & AMERICAN RESTAURANT INC,wealthier,10030,Caribbean,11/26/19,06F,Y,1,11/26/19,40.81653324,-73.94661006,110,9,22102,1059461,1019600011,MN03,1
13561,MARGHERITA'S MEXICAN CUISINE,less wealthy,10456,Mexican,11/21/18,10B,N,1,11/21/18,40.82203105,-73.90777927,203,17,18500,2004478,2026270056,BX35,1
13562,SUBWAY,less wealthy,11220,Sandwiches/Salads/Mixed Buffet,4/4/19,02D,Y,1,4/4/19,40.63520488,-74.02326781,310,43,13000,3145259,3058640010,BK31,1
13563,CARIBBEAN FIESTA,wealthier,10029,Caribbean,1/25/19,10F,N,1,1/25/19,40.79254305,-73.95029143,111,8,16800,1051504,1016100055,MN33,1
13564,DUNKIN BASKIN ROBBINS,less wealthy,11236,Donuts,8/6/19,09C,N,1,8/6/19,40.63927132,-73.91935037,318,46,95000,3222457,3079570023,BK50,1
13565,TOUS LES JOURS,wealthier,10001,Bakery,6/27/19,08A,N,1,6/27/19,40.74757745,-73.98649135,105,4,7600,1015846,1008340022,MN17,1
13566,THE FARM ON ADDERLEY,less wealthy,11218,American,9/30/19,02B,Y,1,9/30/19,40.63971787,-73.96772984,314,40,52600,3118606,3051540004,BK42,1
13567,EMPLOYEE CAFETERIA,wealthier,10022,American,5/15/19,06D,Y,1,5/15/19,40.75810725,-73.97539324,105,4,10200,1035462,1012860021,MN17,1
13568,"DUNKIN', BASKIN ROBBINS",less wealthy,11205,Café/Coffee/Tea,3/1/19,06C,Y,1,3/1/19,40.68980182,-73.95201261,303,36,24100,3049735,3017830058,BK75,1
13569,LOTTE NEW YORK PALACE-VILLARD,wealthier,10022,French,9/13/19,02G,Y,1,9/13/19,40.75810725,-73.97539324,105,4,10200,1035462,1012860021,MN17,1
13570,BURGERFI,less wealthy,11228,American,2/27/19,10F,N,1,2/27/19,40.6185746,-74.02138173,310,43,14000,3153241,3060370060,BK30,1
13571,"DUNKIN', BASKIN ROBBINS",less wealthy,11207,Donuts,12/17/19,06E,Y,1,12/17/19,40.67783776,-73.89809021,305,37,114201,3080573,3034820001,BK83,1
13572,Banquet Kitchen,wealthier,10022,American,1/6/20,06D,Y,1,1/6/20,40.75810725,-73.97539324,105,4,10200,1035462,1012860021,MN17,1
13573,LOTTE NEW YORK PALACE -4th floor kitchen,wealthier,10022,American,6/3/19,06B,Y,1,6/3/19,40.75810725,-73.97539324,105,4,10200,1035462,1012860021,MN17,1
13574,"DUNKIN', BASKIN ROBBINS",less wealthy,11237,Donuts,4/25/19,10F,N,1,4/25/19,40.69883214,-73.91812399,304,37,43100,3075415,3033000003,BK77,1
13575,LOTTE NEW YORK PALACE -POMME PALAIS,wealthier,10022,French,6/26/19,06F,Y,1,6/26/19,40.75810725,-73.97539324,105,4,10200,1035462,1012860021,MN17,1
13576,POKE BOWL STATION,less wealthy,11220,Hawaiian,1/9/20,10F,N,1,1/9/20,40.63609312,-74.012524,307,38,11800,3143869,3057930045,BK34,1
13577,LOTTE NEW YORK PALACE-TROUBLE'S TRUST,wealthier,10022,"Bottled beverages, including water, sodas, juices, etc.",3/29/19,06C,Y,1,3/29/19,40.75810725,-73.97539324,105,4,10200,1035462,1012860021,MN17,1
13578,PATE PALO,wealthier,10034,Spanish,9/6/19,06D,Y,1,9/6/19,40.86642809,-73.92833316,112,10,29500,1065062,1022470056,MN01,1
13579,ZOUJI BBQ,less wealthy,11355,Chinese,3/2/19,06D,Y,1,3/2/19,40.75299251,-73.82717752,407,20,79702,4115883,4051360069,QN22,1
13580,CHINA PANDA,less wealthy,11207,Chinese,8/3/19,02G,Y,1,8/3/19,40.66147236,-73.89393063,305,42,112800,3085550,3038390054,BK85,1
13581,TAJ MASALA,less wealthy,11233,Indian,6/20/19,08B,N,1,6/20/19,40.68437466,-73.92936247,303,36,29500,3046166,3016610048,BK35,1
13582,"DUNKIN', BASKIN ROBBINS",less wealthy,11233,Donuts,11/20/19,04H,Y,1,11/20/19,40.67663934,-73.91632711,316,41,30100,3042426,3015620001,BK79,1
13583,CAFE GOURMET,less wealthy,11201,American,5/15/19,10F,N,1,5/15/19,40.68906391,-73.98228438,302,33,3700,3000464,3001610027,BK38,1
13584,"DUNKIN', BASKIN ROBBINS",less wealthy,11208,Donuts,2/11/19,06C,Y,1,2/11/19,40.68342303,-73.87299053,305,37,117602,3092269,3041300071,BK83,1
13585,THE BUTCHER'S DAUGHTER,wealthier,10014,Vegetarian,1/15/20,10B,N,1,1/15/20,40.736357500000004,-74.00587092,102,3,7500,1011919,1006340060,MN23,1
13586,13106 GRAND EVERGREEN CHINESE RESTAURANT,less wealthy,11420,Chinese,12/2/19,04L,Y,1,12/2/19,40.67485811,-73.80720301,410,28,81800,4255024,4117550148,QN55,1
13587,HEALTHY CHOICE KITCHEN,less wealthy,11206,Middle Eastern,1/2/20,06A,Y,1,1/2/20,40.7082949,-73.94337152,301,34,50500,3070980,3030430025,BK90,1
13588,MCDONALD'S,less wealthy,11373,American,10/22/19,10B,N,1,10/22/19,40.73384018,-73.87157703,404,25,68300,4045999,4018600100,QN29,1
13589,DRAGON PALACE,less wealthy,11434,Chinese,11/13/19,10B,N,1,11/13/19,40.67201393,-73.76431235,412,31,33402,4270913,4125820031,QN02,1
13590,SIDE PARK CAFE,wealthier,10029,American,9/23/19,04A,Y,0,9/23/19,40.79306528,-73.95199206,111,8,16800,1051499,1016100001,MN33,0
13591,TASTE OF THE CITY FRESH GRILL,less wealthy,11210,Creole/Cajun,9/28/19,10E,N,0,9/28/19,40.63700055,-73.95210117,314,45,77000,3344043,3052260024,BK42,0
13592,VIN SUR VINGT,wealthier,10024,French,6/27/19,06C,Y,1,6/27/19,40.78469768,-73.97205036,107,6,16900,1031244,1011970061,MN12,1
13593,MAMMA LUCIANA'S,less wealthy,11356,Pizza/Italian,10/2/19,04A,Y,0,10/2/19,40.78403485,-73.8458054,407,19,92500,4098329,4040840011,QN23,0
13594,SUPER POWER,less wealthy,11216,American,11/21/19,04H,Y,1,11/21/19,40.67391425,-73.95012783,308,36,31701,3031212,3012330047,BK61,1
13595,FLUFFY'S CAFE & PIZZERIA,wealthier,10019,American,10/18/19,06C,Y,1,10/18/19,40.76816011,-73.98422358,104,3,13900,1026057,1010480063,MN15,1
13596,PIKINE AFRICAN RESTAURANT,wealthier,10026,African,9/19/19,04L,Y,0,9/19/19,40.80394363,-73.95423453,110,9,21800,1058370,1019220009,MN11,0
13597,STARBUCKS COFFEE,wealthier,10036,Café/Coffee/Tea,11/19/19,10F,N,1,11/19/19,40.75675785,-73.9807503,105,4,9600,1034346,1012627502,MN17,1
13598,YUMMY YUMMY,less wealthy,11232,Chinese,11/4/19,10F,N,0,11/4/19,40.65133808,-74.00752117,307,38,8200,3010690,3007180043,BK32,1
13599,SAIDY'S CAFE,less wealthy,11362,Café/Coffee/Tea,6/4/19,10F,N,1,6/4/19,40.76154437,-73.72309145,411,23,152902,4173274,4083940100,QN45,1
13600,PLAZA CAFE,less wealthy,11375,American,9/4/19,10J,N,1,9/4/19,40.71490492,-73.83193365,406,29,75701,4052811,4022700041,QN17,1
13601,EAST MEETS WEST,less wealthy,11374,Chinese,10/10/19,10B,N,1,10/10/19,40.7195074,-73.86476129,406,29,69702,4073976,4031370001,QN18,1
13602,BLOSSOM ICE CREAM,less wealthy,11201,"Ice Cream, Gelato, Yogurt, Ices",11/19/19,06D,Y,1,11/19/19,40.68720415,-73.99357453,306,39,4500,3003277,3003020039,BK33,1
13603,TRADEMARK,wealthier,10018,American,8/30/19,02G,Y,1,8/30/19,40.75048677,-73.98547296,105,4,8400,1090629,1008370067,MN17,1
13604,THE BOIL,wealthier,10003,American,3/12/19,10B,N,1,3/12/19,40.73016258,-73.99443631,102,1,5900,1008839,1005480045,MN23,1
13605,LADY M CONFECTIONS,wealthier,10112,Bakery,10/9/19,06A,Y,1,10/9/19,40.75874744,-73.97869222,105,4,10400,1076262,1012657501,MN17,1
13606,GOLD SOUNDS,less wealthy,11237,American,9/18/19,04N,Y,1,9/18/19,40.70277015,-73.92938619,304,34,42500,3071959,3031570031,BK78,1
13607,LA COLOMBE,wealthier,10012,Café/Coffee/Tea,10/28/19,05D,Y,1,10/28/19,40.72589186,-74.00117256,102,1,4900,1007733,1005020023,MN24,1
13608,SHAKE SHACK,wealthier,10018,American,10/16/19,10F,N,1,10/16/19,40.7508219,-73.98776113,105,3,10900,1015226,1008110021,MN17,1
13609,THAILAND CAFE,wealthier,10003,Thai,12/3/19,04N,Y,1,12/3/19,40.72711822,-73.98875047,103,2,3800,1006626,1004610031,MN22,1
13610,SUBWAY,wealthier,10031,Sandwiches,1/29/19,06E,Y,1,1/29/19,40.82691268,-73.95010305,109,7,22900,1062381,1020920036,MN04,1
13611,THE MUFFIN SHOP,less wealthy,11228,Café/Coffee/Tea,8/1/19,04L,Y,1,8/1/19,40.62128278,-74.0064119,310,43,20000,3158817,3061990047,BK30,1
13612,BEST GARDEN CHINESE RESTAURANT,less wealthy,11363,Chinese,1/17/19,06C,Y,1,1/17/19,40.76605007,-73.745076,411,19,147900,4453377,4081110001,QN45,1
13613,ROKC,wealthier,10031,Japanese,8/29/19,10F,N,1,8/29/19,40.82367488,-73.95244322,109,7,22500,1061776,1020720064,MN04,1
13614,MR. CHICKEN TO GO,less wealthy,11377,Chicken,9/30/19,04M,Y,1,9/30/19,40.74455207,-73.91117823,402,26,25100,4030924,4013220074,QN63,1
13615,FORTUNE HOUSE OF CHEN,less wealthy,11203,Chinese,3/9/19,09C,N,1,3/9/19,40.65678621,-73.92826371,317,41,87800,3100250,3046220029,BK60,1
13616,BILL'S NEW YORK CITY,wealthier,10022,American,11/19/18,02B,Y,1,11/19/18,40.76009669,-73.9731292,105,4,10200,1035765,1012900127,MN17,1
13617,THE BEATRICE INN,wealthier,10014,American,1/14/20,08A,N,0,1/14/20,40.73754606,-74.00412091,102,3,7700,1011452,1006250063,MN23,0
13618,JANE STREET,wealthier,10281,American,9/6/19,06C,Y,1,9/6/19,40.71452196,-74.01567709999999,101,1,31703,1000060,1000160150,MN25,1
13619,FARMERS RESTAURANT,less wealthy,11214,Chinese,2/27/19,04E,Y,1,2/27/19,40.60873643,-74.00511775,311,43,18000,3166441,3063650045,BK27,1
13620,STARBUCKS COFFEE #26188,wealthier,10019,Café/Coffee/Tea,7/31/19,06D,Y,1,7/31/19,40.76681223,-73.98280875,104,3,13900,1799161,1270000161,MN15,1
13621,DA CIRO BROOKLYN TRATTORIA & PIZZERIA,less wealthy,11205,Other,11/22/19,08C,N,1,11/22/19,40.69329302,-73.96715929,302,35,19500,3054816,3019030026,BK69,1
13622,GREGORYS COFFEE,wealthier,10017,Café/Coffee/Tea,8/16/19,06C,Y,1,8/16/19,40.75573363,-73.97835751,105,4,9400,1035397,1012810062,MN17,1
13623,GREGORY'S COFFEE,wealthier,10010,Café/Coffee/Tea,12/10/19,10F,N,1,12/10/19,40.7410311,-73.98573125,105,2,6800,1018066,1008800003,MN21,1
13624,GREGORYS COFFEE,wealthier,10065,Café/Coffee/Tea,1/22/19,10F,N,1,1/22/19,40.76560897,-73.95760747,108,5,11800,1044760,1014430027,MN31,1
13625,JACQUES BRASSERIE,wealthier,10028,French,5/29/19,10F,N,1,5/29/19,40.77795627,-73.95408998,108,5,14601,1048756,1015300045,MN32,1
13626,ISTRIA SPORT CLUB,less wealthy,11102,Eastern European,10/16/19,08A,N,1,10/16/19,40.77069721,-73.92042893,401,22,6900,4431076,4008390012,QN71,1
13627,GOLDEN STEAMER ON 8,less wealthy,11220,Bakery,11/4/19,10F,N,1,11/4/19,40.63981288,-74.00506969,307,38,10600,3014108,3008100049,BK34,1
13628,KENNEDY FRIED CHICKEN,wealthier,10033,Chicken,1/2/20,02G,Y,1,1/2/20,40.84450014,-73.93723727,112,10,26100,1063119,1021300008,MN36,0
13629,CROWN FRIED CHICKEN,wealthier,10031,Chicken,5/29/19,10B,N,1,5/29/19,40.82930258,-73.94835955,109,7,23300,1062444,1020960034,MN04,1
